"TX","ocupancia(%)","EnergíaPEP-MT","EnergíaLONG","EnergíaLAT","nHBonds","RMSD"
0,91.5178571428572,-29.3137,-224.6001,-150.2742,3.20089285714286,2.78142879464286
1,82.6666666666667,-54.2501,-282.678,-99.6877,6.41414141414141,3.70272181818182
2,82.6666666666667,-42.9182,-229.7633,-102.7091,2.582995951417,2.51497510121458
3,84.1666666666667,-41.0548,-214.2733,-104.4168,3.05333333333333,3.77515898989899
4,97.8333333333333,-31.3516,-196.1786,-132.5266,3.27666666666667,2.39430222222222
5,91.1666666666667,-23.2159,-220.8053,-169.7714,2.33,4.52481575757576
6,99.5,-31.0303,-260.9839,-141.4495,2.2,2.50398909090909
7,80.6666666666667,-32.7515,-172.9684,-136.3973,3.96666666666667,2.98793393939394
8,99.5,-45.1855,-229.5982,-152.7805,5.35833333333333,4.17892424242424
9,96.6666666666667,-36.401,-193.0399,-93.6562,2.68,2.4943098989899
10,97,-33.6495,-195.3551,-153.8654,2.58333333333333,2.06723272727273
11,92.5754060324826,-22.106,-257.656,-136.593,2.2,3.90364976190476
